ManusLfdNr,default_code,name,list_price,standard_price,categ_id/id,uom_id,uom_po_id,active,sale_ok,purchase_ok,type
AND00073105,AND00073105,Heine Earlight,1.0,0.0,__import__.pc_8c0e70d7a76a83e46c5c,Units,Units,True,True,True,consu
AND00078117,AND00078117,Heine Kontaktscheibe fŸr Mini,1.0,0.0,__import__.pc_8c0e70d7a76a83e46c5c,Units,Units,True,True,True,consu
AND00080101,AND00080101,Gebläse - Anschluss,1.0,0.0,__import__.pc_8c0e70d7a76a83e46c5c,Units,Units,True,True,True,consu
AND00170206,AND00170206,"Heine Otoskop 3000 LED/ Kopf, -schwarz-",1.0,0.0,__import__.pc_8c0e70d7a76a83e46c5c,Units,Units,True,True,True,consu
AND001702061,AND001702061,Heine Mini-e,42.21,42.21,__import__.pc_8c0e70d7a76a83e46c5c,Units,Units,True,True,True,consu
AND001702062,AND001702062,Heine Mini 3000 Otoskop-Kopf -schwarz-,38.0,38.0,__import__.pc_8c0e70d7a76a83e46c5c,Units,Units,True,True,True,consu
AND00173131,AND00173131,"Heine Mini 3000 Cliplampen, - schwarz -",1.0,0.0,__import__.pc_a38e62c12cdf154c4608,Units,Units,True,True,True,consu
AND00179020,AND00179020,Heine Mini 3000 Griffmodul,1.0,0.0,__import__.pc_8c0e70d7a76a83e46c5c,Units,Units,True,True,True,consu
AND00179020B,AND00179020B,"Heine Mini 3000 Griffmodul o. Batterie, -blau-",21.77,21.77,__import__.pc_8c0e70d7a76a83e46c5c,Units,Units,True,True,True,consu
AND00870110B,AND00870110B,"Heine mini 3000 LED-HQ Otoskop, -blau-",199.0,199.0,__import__.pc_8c0e70d7a76a83e46c5c,Units,Units,True,True,True,consu
AND00870110S,AND00870110S,"Heine mini 3000 LED-F.O. Otoskop, -schwarz-",199.0,199.0,__import__.pc_8c0e70d7a76a83e46c5c,Units,Units,True,True,True,consu
AND00870206,AND00870206,"Heine Mini 3000 LED/ Otoskop Kopf, schwarz",1.0,0.0,__import__.pc_8c0e70d7a76a83e46c5c,Units,Units,True,True,True,consu
AND00870210,AND00870210,Heine LED Otoskop Mini 3000,110.0,110.0,__import__.pc_8c0e70d7a76a83e46c5c,Units,Units,True,True,True,consu
AND00870210B,AND00870210B,"Heine mini 3000 Otoskop LED, -blau-",110.0,110.0,__import__.pc_8c0e70d7a76a83e46c5c,Units,Units,True,True,True,consu
AND00870210S,AND00870210S,"Heine mini 3000 Otoskop LED, -schwarz-",110.0,110.0,__import__.pc_8c0e70d7a76a83e46c5c,Units,Units,True,True,True,consu
AND00871120,AND00871120,Heine Mini 3000 Ophthalmoskop LED,157.45,157.45,__import__.pc_8c0e70d7a76a83e46c5c,Units,Units,True,True,True,consu
AND00871120S,AND00871120S,Heine Mini 3000 Ophthalmoskop LED,157.45,157.45,__import__.pc_8c0e70d7a76a83e46c5c,Units,Units,True,True,True,consu
AND00873102,AND00873102,Heine Mini LED Ersatzlampe,1.0,0.0,__import__.pc_8c0e70d7a76a83e46c5c,Units,Units,True,True,True,consu
AND00873103,AND00873103,Heine Untersuchungslampe  Mini-e Ear-Light,1.0,0.0,__import__.pc_241278a0d79cdc92e45e,Units,Units,True,True,True,consu
AND00878107,AND00878107,"Heine mini 3000 Dermatoskop HQ LED, -schwarz-",237.85,237.85,__import__.pc_8c0e70d7a76a83e46c5c,Units,Units,True,True,True,consu
AND1211112,AND1211112,Diagnostikleuchte LED Luxamed- schwarz-,9.4,9.4,__import__.pc_a38e62c12cdf154c4608,Units,Units,True,True,True,consu
AND1211212B,AND1211212B,Diagnostikleuchte LED Luxamed -blau-,9.4,9.4,__import__.pc_a38e62c12cdf154c4608,Units,Units,True,True,True,consu
AND1211312,AND1211312,Diagnostikleuchte LED Luxamed -grau-,9.4,9.4,__import__.pc_a38e62c12cdf154c4608,Units,Units,True,True,True,consu
AND1211412,AND1211412,Diagnostikleuchte LED Luxamed - rot -,9.4,9.4,__import__.pc_a38e62c12cdf154c4608,Units,Units,True,True,True,consu
AND1211512,AND1211512,Diagnostikleuchte LED Luxamed - gelb -,9.4,9.4,__import__.pc_a38e62c12cdf154c4608,Units,Units,True,True,True,consu
AND1211612,AND1211612,Diagnostikleuchte LED Luxamed - grŸn -,9.4,9.4,__import__.pc_a38e62c12cdf154c4608,Units,Units,True,True,True,consu
AND1212112,AND1212112,Diagnostikleuchte Luxamed - schwarz -,6.3,6.3,__import__.pc_a38e62c12cdf154c4608,Units,Units,True,True,True,consu
AND1212212,AND1212212,Diagnostikleuchte Luxamed - blau -,6.3,6.3,__import__.pc_a38e62c12cdf154c4608,Units,Units,True,True,True,consu
AND1212312,AND1212312,Diagnostikleuchte Luxamed - grau -,6.3,6.3,__import__.pc_a38e62c12cdf154c4608,Units,Units,True,True,True,consu
AND1212412,AND1212412,Diagnostikleuchte Luxamed - rot -,6.3,6.3,__import__.pc_a38e62c12cdf154c4608,Units,Units,True,True,True,consu
AND1212512,AND1212512,Diagnostikleuchte Luxamed - gelb -,6.3,6.3,__import__.pc_a38e62c12cdf154c4608,Units,Units,True,True,True,consu
AND1212612,AND1212612,Diagnostikleuchte Luxamed  -grŸn -,6.3,6.3,__import__.pc_a38e62c12cdf154c4608,Units,Units,True,True,True,consu
AND1212912,AND1212912,Diagnostikleuchte Luxamed - weiss -,6.3,6.3,__import__.pc_a38e62c12cdf154c4608,Units,Units,True,True,True,consu
AND1311912,AND1311912,"Diagnostikleuchte Luxamed fŸr Kinder, -wei§-",1.0,0.0,__import__.pc_a38e62c12cdf154c4608,Units,Units,True,True,True,consu
AND5311212,AND5311212,Blaufilter fŸr Luxamed Penlight,3.6,3.6,__import__.pc_5ba2aca771e9d548cdba,Units,Units,True,True,True,consu
AND5313112,AND5313112,Kombihalter mit Kehlkopfspiegel,7.4,7.4,__import__.pc_5ba2aca771e9d548cdba,Units,Units,True,True,True,consu
AND85620021,AND85620021,Heine Mini 3000 LED Otoskop - Set,147.0,147.0,__import__.pc_8c0e70d7a76a83e46c5c,Units,Units,True,True,True,consu
AND87211021,AND87211021,"Heine Mini 3000 LED , Ophtalmoskop+Otoskop Set",248.57,248.57,__import__.pc_8c0e70d7a76a83e46c5c,Units,Units,True,True,True,consu
AND88611021,AND88611021,"Heine mini 3000-LED-HQ,",314.9,314.9,__import__.pc_8c0e70d7a76a83e46c5c,Units,Units,True,True,True,consu
ANDS5541149,ANDS5541149,Manometer DS-55/ Red HLIGHTS,1.0,0.0,__import__.pc_e234fc8c633dabae03f2,Units,Units,True,True,True,consu
ANE31090K-SET,ANE31090K-SET,Blutdruckmesser Kinder,1.0,0.0,__import__.pc_76bf90520718118fca2c,Units,Units,True,True,True,consu
ANE32079B-ST,ANE32079B-ST,Blutdruckmesser mit Einhängemanometer,1.0,0.0,__import__.pc_76bf90520718118fca2c,Units,Units,True,True,True,consu
ANEB00.003,ANEB00.003,EliteBags DOCTOR«s Arzttasche,110.0,110.0,__import__.pc_28e4c8e8f4fdf9d40416,Units,Units,True,True,True,consu
ANEB00.013,ANEB00.013,Elitebags URB & GO Pflegetasche,85.0,85.0,__import__.pc_28e4c8e8f4fdf9d40416,Units,Units,True,True,True,consu
ANEB00015,ANEB00015,Elitebags City«s Pflegerucksack,79.0,79.0,__import__.pc_28e4c8e8f4fdf9d40416,Units,Units,True,True,True,consu
ANEB00017,ANEB00017,Elitebags STREETs Pflegetasche,85.0,85.0,__import__.pc_28e4c8e8f4fdf9d40416,Units,Units,True,True,True,consu
ANEB01.007,ANEB01.007,KEEN«s Organizer grŸn,8.4,8.4,__import__.pc_e234fc8c633dabae03f2,Units,Units,True,True,True,consu
ANEB01005,ANEB01005,KEEN«s Organizer -lila-,8.4,8.4,__import__.pc_e234fc8c633dabae03f2,Units,Units,True,True,True,consu
ANEB01008,ANEB01008,KEEN«s Organizer blau,1.0,0.0,__import__.pc_e234fc8c633dabae03f2,Units,Units,True,True,True,consu
ANEB01009,ANEB01009,KEEN«s Organizer pink,1.0,0.0,__import__.pc_e234fc8c633dabae03f2,Units,Units,True,True,True,consu
ANEB02.002,ANEB02.002,EliteBags Probe«s Gro§raum-Ampullarium,29.0,29.0,__import__.pc_a116a2b036c888f84ee3,Units,Units,True,True,True,consu
ANEB02.028,ANEB02.028,EliteBags RESQ«S Rettungsdienst Holster,12.3,12.3,__import__.pc_a116a2b036c888f84ee3,Units,Units,True,True,True,consu
ANEB02.030,ANEB02.030,EliteBags COMPACT«S Holster,17.5,17.5,__import__.pc_28e4c8e8f4fdf9d40416,Units,Units,True,True,True,consu
ANEB04.002,ANEB04.002,EliteBags ROW«S Labortäschen -blau-,26.0,26.0,__import__.pc_28e4c8e8f4fdf9d40416,Units,Units,True,True,True,consu
ANEB06.002,ANEB06.002,"EliteBags Multy«s Multifunktionstasche, -schwarz-",23.3,23.3,__import__.pc_28e4c8e8f4fdf9d40416,Units,Units,True,True,True,consu
ANEB06.006,ANEB06.006,"EliteBags GP«s Softbag , Arzttasche - schwarz-",63.5,63.5,__import__.pc_28e4c8e8f4fdf9d40416,Units,Units,True,True,True,consu
ANEB06.009,ANEB06.009,EliteBags GP«s Softbag GP«S,1.0,0.0,__import__.pc_e234fc8c633dabae03f2,Units,Units,True,True,True,consu
ANEB06.010,ANEB06.010,"EliteBags GP`s, Arzttasche - grau/ rose - Softbag",63.5,63.5,__import__.pc_28e4c8e8f4fdf9d40416,Units,Units,True,True,True,consu
ANEB06.012,ANEB06.012,"Multy«s Mutlitfunktionstasche, - grau/ rosa",1.0,0.0,__import__.pc_e234fc8c633dabae03f2,Units,Units,True,True,True,consu
ANEB06.015,ANEB06.015,"Multy«s Mutlitfunktionstasche, - schwarz/ rot -",23.3,23.3,__import__.pc_28e4c8e8f4fdf9d40416,Units,Units,True,True,True,consu
ANEB08.004,ANEB08.004,"EliteBags JUMBLE«S Multifunktionstasche, -rot -",23.3,23.3,__import__.pc_28e4c8e8f4fdf9d40416,Units,Units,True,True,True,consu
ANEB08.007,ANEB08.007,"EliteBags JUMBLE«S Multifunktionstasche, -schwarz-",23.3,23.3,__import__.pc_28e4c8e8f4fdf9d40416,Units,Units,True,True,True,consu
ANEB08.008,ANEB08.008,"EliteBags JUMBLE«S Multifunktionstasche, -blau-",23.3,23.3,__import__.pc_28e4c8e8f4fdf9d40416,Units,Units,True,True,True,consu
ANEB08.009,ANEB08.009,EliteBags CURE & GO Erste-Hilfe-Tasche,8.65,8.65,__import__.pc_a116a2b036c888f84ee3,Units,Units,True,True,True,consu
ANEB08.010,ANEB08.010,"EliteBags HEAL& GO Kompakttasche, - rot -",11.5,11.5,__import__.pc_28e4c8e8f4fdf9d40416,Units,Units,True,True,True,consu
ANEB08.011,ANEB08.011,EliteBags JUMBLE«S Multifunktionstasche,26.3,26.3,__import__.pc_28e4c8e8f4fdf9d40416,Units,Units,True,True,True,consu
ANEB09.001,ANEB09.001,"Conbio«s Abwurfbehälter, Elite Bags/ -gelb-",1.0,0.0,__import__.pc_e234fc8c633dabae03f2,Units,Units,True,True,True,consu
ANEB09.002,ANEB09.002,EliteBags Thermo-Ampullarium Phial's,13.0,13.0,__import__.pc_a116a2b036c888f84ee3,Units,Units,True,True,True,consu
ANEB09.023,ANEB09.023,Carry«s Trolley,29.0,29.0,__import__.pc_e234fc8c633dabae03f2,Units,Units,True,True,True,consu
ANEB110,ANEB110,EliteBags CONBIO«S Abwurfbehälter -gelb-,2.8,2.8,__import__.pc_28e4c8e8f4fdf9d40416,Units,Units,True,True,True,consu
ANEB112.2,ANEB112.2,"Diabetikertäschchen Elite Bags, -blau-",1.0,0.0,__import__.pc_e234fc8c633dabae03f2,Units,Units,True,True,True,consu
ANEB112.2SW,ANEB112.2SW,"Diabetikertäschchen Elite Bags, -schwarz-",1.0,0.0,__import__.pc_e234fc8c633dabae03f2,Units,Units,True,True,True,consu
ANEB112.2V,ANEB112.2V,"Diabetikertäschchen Elite Bags, -lila-",1.0,0.0,__import__.pc_e234fc8c633dabae03f2,Units,Units,True,True,True,consu
ANEB12.005,ANEB12.005,"EliteBags CLASSY`S deluxe Arzttasche, Leder braun",165.0,165.0,__import__.pc_28e4c8e8f4fdf9d40416,Units,Units,True,True,True,consu
ANEB14.021,ANEB14.021,"Elitebags Ampullarium DIA`S, -grau-",1.0,0.0,__import__.pc_e234fc8c633dabae03f2,Units,Units,True,True,True,consu
ANEB920.1,ANEB920.1,Thermopack wiederverwendbar,1.5,1.5,__import__.pc_e234fc8c633dabae03f2,Units,Units,True,True,True,consu
ANEM13.001,ANEM13.001,"EMERGENCY«S Notfalltasche LIGHT BAG, -rot-",38.0,38.0,__import__.pc_a116a2b036c888f84ee3,Units,Units,True,True,True,consu
ANEM13.003,ANEM13.003,"EMERGENCY«S GREAT CAPACITY, - rot -",63.5,63.5,__import__.pc_28e4c8e8f4fdf9d40416,Units,Units,True,True,True,consu
ANEM13.016,ANEM13.016,EMERGENCY«S MARSUPIO Erste-Hilfe HŸfttasche,10.5,10.5,__import__.pc_a116a2b036c888f84ee3,Units,Units,True,True,True,consu
ANG1.211.214,ANG1.211.214,"Stethoskop Luxa Scope Sonus, Erwachsene, navy blau",1.0,0.0,__import__.pc_b35498975b0d1cc88280,Units,Units,True,True,True,consu
ANG1.212.114,ANG1.212.114,"Stethoskop Sonus Flex, Erwachsene, -schwarz-",30.2,30.2,__import__.pc_baeb903eb78d0c504992,Units,Units,True,True,True,consu
ANG1.221.914,ANG1.221.914,"Stethoskop Sonus NPX, -wei§-",50.8,50.8,__import__.pc_b35498975b0d1cc88280,Units,Units,True,True,True,consu
ANG51113,ANG51113,"Stethoskop Classic, Säuglinge, -rot-",1.0,0.0,__import__.pc_baeb903eb78d0c504992,Units,Units,True,True,True,consu
ANH130371,ANH130371,Heine Scientific Modell Hand,19.5,19.5,__import__.pc_65b195ebd2dd9fbd2aff,Units,Units,True,True,True,consu
ANH131120,ANH131120,Heine Scientific Torso-Modell 18-teilig,68.7,68.7,__import__.pc_65b195ebd2dd9fbd2aff,Units,Units,True,True,True,consu
ANH139024,ANH139024,Antatomisches Herz-Modell,21.0,21.0,__import__.pc_65b195ebd2dd9fbd2aff,Units,Units,True,True,True,consu
