Artikelnummer,Matchcode,Mandant,Artikelgruppe,Artikelgruppe_Bezeichnung,Basismengeneinheit,VK1_Preis,EK0_Preis
AN51.2,Verbandschere nach Lister 18 cm,1,Jia,Scheren,Stk,1.96,1.96
AN510PU-42,"mediPlogs OP-Schuhe, -grün-,",1,U,Sonstiges,Stk,1,NULL
AN521-0-019,"Ohrthermometer Bosotherm, Medical",1,Ieb,Digitale Thermometer,Stk,24.1,24.1
AN521-0-024,Digital Fieberthermometer Boso,1,Ieb,Digitale Thermometer,Stk,2.94,2.94
AN521-0-030,"Bosotherm Diagnostik -Infrarot, Thermometer",1,Ieb,Digitale Thermometer,Stk,28.1,28.1
AN525PU-41,"mediPlogs OP-Schuhe, weiss, Gr. 41",1,U,Sonstiges,Stk,1,NULL
AN525PU-48,"mediPlogs OP-Schuhe, dunkelblau, Größe 48",1,U,Sonstiges,Stk,1,NULL
AN525PU42,"OP Schuhe Schürr, Größe 42, -weiß-",1,U,Sonstiges,Stk,1,NULL
AN54000-40,"mediPlogs OP-Schuhe, -rot-, Größe 40",1,U,Sonstiges,Stk,1,NULL
AN560160,Venenstauer Baby -blau-,1,Ah,Venenstauer,Stk,6.39,6.39
AN560PU-40,"mediPlogs OP-Schuhe, fuchsia, Größe 40",1,U,Sonstiges,Stk,1,NULL
AN5620,"Stethoskop 3M Littmann Classic III, -schwarz-",1,Idc,Littmann - Stethoskope,Stk,77.4,77.4
AN5621,"Stethoskop 3M Littmann Classic III, grau/grey",1,Idc,Littmann - Stethoskope,Stk,77.4,77.4
AN5622,"Stethoskop 3M Littmann Classic III, marine-navy",1,Idc,Littmann - Stethoskope,Stk,77.4,77.4
AN5623,"Stethoskop 3M Littmann Classic III, -karibikblau-",1,Idc,Littmann - Stethoskope,Stk,77.4,77.4
AN5627,"Stethoskop 3M Littmann Classic III, -burgund-",1,Idc,Littmann - Stethoskope,Stk,77.4,77.4
AN5630,"Stethoskop 3M Littmann Classic III, hellblau",1,Idc,Littmann - Stethoskope,Stk,77.4,77.4
AN5633,"Stethoskop 3M Littmann Classic III, -perlmutt-",1,Idc,Littmann - Stethoskope,Stk,77.4,77.4
AN5648,"3M Littmann Classic III /Stethoskop, -Himbeerrot-",1,Idc,Littmann - Stethoskope,Stk,77.4,77.4
AN57,Chirurgische Schere spitz/stumpf,1,Jia,Scheren,Stk,2.2,2.2
AN58,"Chirurgische Schere, spitz",1,Jia,Scheren,Stk,2.2,2.2
AN5803,Stethoskop 3M Littmann Classic III,1,Idc,Littmann - Stethoskope,Stk,1,NULL
AN5806,Stethoskop 3M Littmann Classic III,1,Idc,Littmann - Stethoskope,Stk,81.6,81.6
AN5807,Stethoskop 3M Littmann Classic III,1,Idc,Littmann - Stethoskope,Stk,81.6,81.6
AN5809,Stethoskop 3M Littmann Classic III,1,Idc,Littmann - Stethoskope,Stk,81.6,81.6
AN5811,Stethoskop 3M Littmann Classic III,1,Idc,Littmann - Stethoskope,Stk,81.6,81.6
AN5831,Stethoskop 3M Littmann Classic III,1,Idc,Littmann - Stethoskope,Stk,77.4,77.4
AN5832,"Stethoskop 3M Littmann Classic III, -lavendel-",1,Idc,Littmann - Stethoskope,Stk,77.4,77.4
AN5835,"Stethoskop 3M Littmann Classic III,-türkis-",1,Idc,Littmann - Stethoskope,Stk,77.4,77.4
AN5839,"Stethoskop 3M Littmann Classic III, -zitrone-",1,Idc,Littmann - Stethoskope,Stk,77.4,77.4
AN5861,Stethoskop 3M Littmann Classic III,1,Idc,Littmann - Stethoskope,Stk,85.2,85.2
AN5863,Stethoskop 3M Littmann Classic III,1,Idc,Littmann - Stethoskope,Stk,85.2,85.2
AN5864,Stethoskop 3M Littmann Classic III,1,Idc,Littmann - Stethoskope,Stk,85.2,85.2
AN5868,Stethoskop 3M Littmann Classic III,1,Idc,Littmann - Stethoskope,Stk,81.6,81.6
AN5870,Stethoskop 3M Littmann Classic III,1,Idc,Littmann - Stethoskope,Stk,81.6,81.6
AN5872,"Stethoskop 3M Littmann Classic III, türk/smoke/pin",1,Idc,Littmann - Stethoskope,Stk,81.6,81.6
AN5873,Stethoskop 3M Littmann Classic III,1,Idc,Littmann - Stethoskope,Stk,81.6,81.6
AN5875,Stethoskop 3M Littmann Classic III,1,Idc,Littmann - Stethoskope,Stk,81.6,81.6
AN5910C,Stethoskop 3M Littmann Classic III,1,Idc,Littmann - Stethoskope,Stk,81.6,81.6
AN5912C,Stethoskop 3M Littmann Classic III Stethoskop,1,Idc,Littmann - Stethoskope,Stk,81.6,81.6
AN5959,Stethoskop 3M Littmann Classic III,1,Idc,Littmann - Stethoskope,Stk,85.2,85.2
AN5962,"Stethoskop 3M Littmann Classic III, Schlauch pink",1,Idc,Littmann - Stethoskope,Stk,85.2,85.2
AN60,"Verbandsschere NCD Medical,  für Linkshändler",1,Jia,Scheren,Stk,1,NULL
AN605-N-YEL,Verbandschere schwarz -Premium Antihaft -,1,Jia,Scheren,Stk,6.5,6.5
AN6152,"Stethoskop 3M Littmann, Cardiology IV",1,Idc,Littmann - Stethoskope,Stk,153,153
AN6154,"Stethoskop 3M Littmann, Cardiology IV",1,Idc,Littmann - Stethoskope,Stk,153,153
