Artikelnummer,Matchcode,Mandant,Artikelgruppe,Artikelgruppe_Bezeichnung,Basismengeneinheit,VK1_Preis,EK0_Preis
*301625,"Therapieliege Campus, mit Sitzfunktion",1,7i,Osteopathieliegen,Stk,1980,1980
1,Flyer Diagnostik-Starterset,1,U,Sonstiges,Stk,1,NULL
1135,Rauch: Die Darmreinigung nach,1,Rh,Ernährung,Stk,9.89,9.89
1347,Marquardt: Reflexzonenarbeit am Fuß,1,Ro,Manuelle Medizin,Stk,22.89,22.89
280,Weberstorfer: Arbeit mit Tensoren,1,Rr,Esoterik / Entspannung,Stk,7.54,7.54
69,Dlouhy/Hofmann: Unser Blut -,1,Rq,Alternative Heilverfahren,Stk,12.09,12.09
95,Kliegel/Heng: Organwesen,1,Rr,Esoterik / Entspannung,Stk,11.21,11.21
1,Flyer Physiotherapiebedarf topVit,1,U,Sonstiges,Stk,1,NULL
1008702,Heepen: Hochfrequenz in der Praxis,1,Rs,Laser-& physik. Therapie,Stk,12.75,12.75
1008703,Marschke/Ulrich: Die Hochfrequenz-,1,Rs,Laser-& physik. Therapie,Stk,15.75,15.75
1008704,Heepen: Hochfrequenztherapie in,1,Rs,Laser-& physik. Therapie,Stk,14.29,14.29
10688,Kuklinski: Das HWS-Trauma,1,Ro,Manuelle Medizin,Stk,22.3178,22.3178
1189,Krebs: Praxis der Eigenbluttherapie,1,Rq,Alternative Heilverfahren,Stk,22.43,22.43
119,Piotrowski: Die Kunst des Schröpfens,1,Ru,Schröpfen,Stk,46.72,46.72
1215,"Schmiedel, Augustin: Leitfaden",1,Rq,Alternative Heilverfahren,Stk,78.5,78.5
1332,"Abele: Das Schröpfen, 7. Auflage",1,Ru,Schröpfen,Stk,30.84,30.84
138,Schrott: Weihrauch,1,Rr,Esoterik / Entspannung,Stk,7.02,7.02
1440,Li Wu: Die Organuhr - Leben im Rhythmus,1,Rg,TCM,Stk,6.47,6.47
15066,Jackson-Main: Praktische Irisdiagnose,1,Rj,Diagnostik/ Irisdiagnose,Stk,18.97,18.97
151,Biechele: Basiswissen Augendiagnose,1,Rj,Diagnostik/ Irisdiagnose,Stk,65.37,65.37
1526,Ritter: Stoffwechselstörung HPU,1,Rb,medizin. Themen/ Labor,Stk,10.67,10.67
17861,Bringmann: Low Level Lasertherapie *,1,Rg,TCM,Stk,31.78,31.78
1842,Tuina,1,Ro,Manuelle Medizin,Stk,1,NULL
1843,Shaolin Qi Gong,1,Rr,Esoterik / Entspannung,Stk,1,NULL
1844,Dorn: Die ganzheitliche Methode Dorn,1,Ro,Manuelle Medizin,Stk,10.47,10.47
199,H. Liebl: Bachblüten für jeden Tag,1,Rm,"Homöopathie, Bachblüten, Salze",Stk,6.58,6.58
2,BRAUN Desinfektionsplan,1,Ga,Desinfektionspläne,Stk,1,NULL
2002,Sailer/Wasner: Differenzialdiagnose,1,Rq,Alternative Heilverfahren,Stk,11.77,11.77
2116,Sielmann/Christiansen: Medi-Taping -,1,Ry,Taping,Stk,14.01,14.01
2183,Wurster-Ilg: Das praxisnahe 1x1 des,1,Ru,Schröpfen,Stk,37.33,37.33
220209,Dormann: Laborwerte,1,rb,medizin. Themen/ Labor,Stk,14.72,14.72
2207,Thiele: Heilpraktiker Kompaktwissen,1,Rq,Alternative Heilverfahren,Stk,13.39,13.39
22129,Hecker/Liebchen: Aku-Taping,1,Ry,Taping,Stk,22.43,22.43
22775,Hartenbach: Die Cholesterinlüge,1,Rb,medizin. Themen/ Labor,Stk,7.97,7.97
2543,Greb: Ballengang,1,Ro,Manuelle Medizin,Stk,6.6,6.6
256011,Schubert/Koch: Infusionen u. Injektionen,1,Rb,medizin. Themen/ Labor,Stk,26.17,26.17
263,Harnisch: Die chinesische Heillampe,1,Ra,"Licht-,Wärme-, Farbtherapie",Stk,10.8,10.8
2721,Kliegel: Reflexzonen und Organsprache,1,Ro,Manuelle Medizin,Stk,8.87,8.87
2782,Agustoni: Craniosacral Rhythmus,1,Ro,Manuelle Medizin,Stk,21.03,21.03
2783,Thiele: Mensch Körper pocket,1,Rb,medizin. Themen/ Labor,Stk,15.31,15.31
2997,Ogal/Stör: Bildatlas der Akupunktur,1,Rg,TCM,Stk,37.34,37.34
3145,Ploss: Naturheilkunde bei muskulären,1,Rq,Alternative Heilverfahren,Stk,24.85,24.85
317,Uhl: Chakra Energie Massage,1,Rg,TCM,Stk,7.58,7.58
32192,Höting: Die Moxa-Therapie,1,Rg,TCM,Stk,14.83,14.83
3286,Giessing: Das richtige Pendeln *,1,Rr,Esoterik / Entspannung,Stk,1,NULL
3359,Müller-Burzler: Das Handbuch für,1,Rq,Alternative Heilverfahren,Stk,7.11,7.11
338130,"Koch: Poster ""Die Dorn-Therapie""",1,Dac,Poster,Stk,16.76,16.76
33819,Hemm/Mair: Praktische Biochemie,1,Rm,"Homöopathie, Bachblüten, Salze",Stk,24.27,24.27
338297,Siener: NPSO Erfolg mit der Neuen,1,Rq,Alternative Heilverfahren,Stk,26.14,26.14
338645,"Schünemann: Ableiten, ausleiten,",1,Ru,Schröpfen,Stk,15.84,15.84
34711,Emmrich: Antlitzdiagnostik,1,Rj,Diagnostik/ Irisdiagnose,Stk,9.83,9.83
35393,Gunsch: Anatomische Studien DVD 1,1,Rb,medizin. Themen/ Labor,Stk,1,NULL
38816,Gray: Das Darmheilungsbuch,1,Rq,Alternative Heilverfahren,Stk,7.14,7.14
40528,Linek: Dein Blut lügt nicht,1,Rq,Alternative Heilverfahren,Stk,7.87,7.87
4258,Rossbach: Visuelle Meditationen,1,Rr,Esoterik / Entspannung,Stk,7.32,7.32
441,Gutsch: Diabetes,1,Rb,medizin. Themen/ Labor,Stk,12.09,12.09
451,Platt: Die Hormon-Revolution,1,Rb,medizin. Themen/ Labor,Stk,9.97,9.97
4837,Pfaff: Handbuch der heilenden Farben,1,Ra,"Licht-,Wärme-, Farbtherapie",Stk,5.89,5.89
52810,Strittmatter: Taschenatlas Ohrakupunktur,1,Rg,TCM,Stk,70.08,70.08
5290,"Hildebrand, Kühn: Lehrbuch für HP",1,Rq,Alternative Heilverfahren,Stk,41.36,41.36
5312,Hildebrand: Original-Überprüfungsfragen,1,Rw,HP-Prüfungsfragen/Prüfung*,Stk,29.73,29.73
5320,Hildebrand: Original-Überprüfungsfragen,1,Rw,HP-Prüfungsfragen/Prüfung*,Stk,28.13,28.13
5327,Richter/Hebgen: Triggerpunkte und,1,Ro,Manuelle Medizin,Stk,52.33,52.33
5347,Hildebrand: Multiple-Choice-,1,Rw,HP-Prüfungsfragen/Prüfung*,Stk,31.54,31.54
55660,Matejka: Ausleitende Therapieverfahren,1,ru,Schröpfen,Stk,25.19,25.19
55780,Liem/Dobler: Leitfaden Osteopathie,1,Ro,Manuelle Medizin,Stk,73.6,73.6
5593,"Wüst, Schieferle: Das große Handbuch der",1,Rr,Esoterik / Entspannung,Stk,10.62,10.62
5600,Schultz: Autogenes Training,1,Rr,Esoterik / Entspannung,Stk,5.22,5.22
5601,Wilk: So einfach ist Autogenes Training,1,Za,30% Rabatt,Stk,8.26,8.26
560603,Yuan: Chinesische Zungendiagnostik,1,Rj,Diagnostik/ Irisdiagnose,Stk,28,28
563009,Martin: Das Standardlabor in der,1,Rb,medizin. Themen/ Labor,Stk,44.15,44.15
5646,Becker: Nierensteine und,1,Rb,medizin. Themen/ Labor,Stk,3.87,3.87
591,Abt: Osteobalance inkl. DVD,1,Ro,Manuelle Medizin,Stk,26.14,26.14
595,Steigerwald: Phytotherapie pocket,1,Rq,Alternative Heilverfahren,Stk,9.81,9.81
60045,Rendtorff: Mit Wünschelruten Kraftorte,1,Rr,Esoterik / Entspannung,Stk,14.95,14.95
605182,Feichtinger: Schüßler kurz & bündig,1,Rm,"Homöopathie, Bachblüten, Salze",Stk,11.21,11.21
6073,"Thews: Schabemethode, Gua Sha Fa in der",1,Rg,TCM,Stk,16.54,16.54
6208,Thews: Wärmetherapie in der TCM,1,Rg,TCM,Stk,19.35,19.35
6233,"Jetelina, Thews: Schröpfen BA GUAN FA",1,Ru,Schröpfen,Stk,19.35,19.35
6235,Thews: TCM Innere Medizin,1,Rg,TCM,Stk,41.78,41.78
636,Rieger: Venenschwäche,1,Rb,medizin. Themen/ Labor,Stk,8.73,8.73
6550,Scheffer/Storl: Die Seelenpflanzen,1,Rm,"Homöopathie, Bachblüten, Salze",Stk,18.65,18.65
68196,Abele: Schröpfkopfbehandlung,1,Ru,Schröpfen,Stk,19.62,19.62
6955,Münch: Pathophysiognomik,1,Ra,"Licht-,Wärme-, Farbtherapie",Stk,28.75,28.75
7039,Brandl: Homöopathie pocket,1,Rm,"Homöopathie, Bachblüten, Salze",Stk,12.4,12.4
71920,Choudhury: LM-Potenzen in d. Homöopathie,1,Rm,"Homöopathie, Bachblüten, Salze",Stk,20.43,20.43
08.301.02.23000008,Premier 5.5 Instrument Set-A,1,Ortho,Orthopädie,Stk,4160,4160
08.301.02.23000009,Premier 5.5 Instrument Set-B,1,Ortho,Orthopädie,Stk,2960,2960
08.301.02.23000010A,SINO 6.0 Instrument Set A,1,Ortho,Orthopädie,Stk,1,NULL
08.301.02.23000010B,SINO 6.0 Instrument Set B,1,Ortho,Orthopädie,Stk,1,NULL
08.301.02.23000014,Premier A implant case,1,Ortho,Orthopädie,Stk,800,800
08.301.02.23001401,Rod Reducer Plier 5.5,1,Ortho,Orthopädie,Stk,513,513
08.301.02.23106501,Extension Sleeve 14,1,Ortho,Orthopädie,Stk,30,30
08.301.02.23804503,Screwdriver for Bone Cement Screw,1,Ortho,Orthopädie,Stk,1,NULL
08.301.02.23807500,Premier 5.5 MIS Instrument Set,1,Ortho,Orthopädie,Stk,1,NULL
08.301.02.23900100,Posterior Retractor and Tunnel System/ SET,1,Ortho,Orthopädie,Stk,1,NULL
08.311..01.804105150,Premier MIS ( straight) 5.5 x 150,1,Ortho,Orthopädie,Stk,1,NULL
08.311.01.800001040,SINO Rod 6.0 x 40,1,Ortho,Orthopädie,Stk,6,6
08.311.01.800001045,SINO Rod 6.0 x 45,1,Ortho,Orthopädie,Stk,6,6
08.311.01.800001050,SINI Rod 6.0 x 50,1,Ortho,Orthopädie,Stk,6,6
08.311.01.800001060,SINO Rod 6.0 x 60,1,Ortho,Orthopädie,Stk,6,6
08.311.01.800001070,SINO Rod 6.0 x 70,1,Ortho,Orthopädie,Stk,6,6
08.311.01.800001080,SINO Rod 6.0 x 80,1,Ortho,Orthopädie,Stk,6,6
08.311.01.800001090,SINO Rod 6.0 x 90,1,Ortho,Orthopädie,Stk,6,6
08.311.01.800001100,SINO Rod 6.0 x 100,1,Ortho,Orthopädie,Stk,6,6
08.311.01.800001110,SINO Rod 6.0 x 110,1,Ortho,Orthopädie,Stk,6,6
08.311.01.800001250,SINO Rod 6.0 x 250,1,Ortho,Orthopädie,Stk,12,12
08.311.01.800001500,SINO Rod 6.0 x 500,1,Ortho,Orthopädie,Stk,25,25
08.311.01.800025040,MIS Rod(Curved) 5.5 x 40,1,Ortho,Orthopädie,Stk,12,12
08.311.01.800025050,MIS Rod(Curved) 5.5 x 50,1,Ortho,Orthopädie,Stk,12,12
08.311.01.800025060,MIS Rod(Curved) 5.5 x 60,1,Ortho,Orthopädie,Stk,12,12
08.311.01.800025070,MIS Rod(Curved) 5.5 x 70,1,Ortho,Orthopädie,Stk,12,12
08.311.01.800025080,MIS Rod(Curved) 5.5 x 80,1,Ortho,Orthopädie,Stk,12,12
08.311.01.800105535,SINO Polyaxial Pedicle Screw 5.5 x 35,1,Ortho,Orthopädie,Stk,42,42
08.311.01.800105540,SINO Polyaxial Pedicle Screw 5.5 x 40,1,Ortho,Orthopädie,Stk,42,42
08.311.01.800105545,SINO Polyaxial Pedicle Screw 5.5 x 45,1,Ortho,Orthopädie,Stk,42,42
08.311.01.800105550,SINO Polyaxial Pedicle Screw 5.5 x 50,1,Ortho,Orthopädie,Stk,42,42
08.311.01.800106540,SINO Polyaxial Pedicle Screw 6.5 x 40,1,Ortho,Orthopädie,Stk,42,42
08.311.01.800106545,SINO Polyaxial Pedicle Screw 6.5 x 45,1,Ortho,Orthopädie,Stk,42,42
08.311.01.800106550,SINO Polyaxial Pedicle Screw 6.5 x 50,1,Ortho,Orthopädie,Stk,42,42
08.311.01.800106555,SINO Polyaxial Pedicle Screw 6.5 x 55,1,Ortho,Orthopädie,Stk,42,42
08.311.01.800107540,SINO Polyaxial Pedicle Screw 7.5 x 40,1,Ortho,Orthopädie,Stk,42,42
08.311.01.800107545,SINO Polyaxial Pedicle Screw 7.5 x 45,1,Ortho,Orthopädie,Stk,42,42
08.311.01.800107550,SINO Polyaxial Pedicle Screw 7.5 x 50,1,Ortho,Orthopädie,Stk,42,42
08.311.01.800145530,SINO Polyaxial Reduction Screw 5.5 x 30,1,Ortho,Orthopädie,Stk,45,45
08.311.01.800145535,SINO Polyaxial Reduction Screw 5.5 x 35,1,Ortho,Orthopädie,Stk,45,45
08.311.01.800145540,SINO Polyaxial Reduction Screw 5.5 x 40,1,Ortho,Orthopädie,Stk,45,45
08.311.01.800145545,SINO Polyaxial Reduction Screw 5.5 x 45,1,Ortho,Orthopädie,Stk,45,45
08.311.01.800146540,SINO Polyaxial Reduction Screw 6.5 x 40,1,Ortho,Orthopädie,Stk,45,45
08.311.01.800146545,SINO Polyaxial Reduction Screw 6.5 x 45,1,Ortho,Orthopädie,Stk,45,45
08.311.01.800146550,SINO Polyaxial Reduction Screw 6.5 x 50,1,Ortho,Orthopädie,Stk,45,45
08.311.01.800215040,Premier Polyaxial Pedicle Screw 5.0 x 40,1,Ortho,Orthopädie,Stk,58,58
08.311.01.800215045,Premier Polyaxial Pedicle Screw 5.0 x 45,1,Ortho,Orthopädie,Stk,58,58
08.311.01.800215530,Premier Polyaxial Pedicle Screw 5.5 x 30,1,Ortho,Orthopädie,Stk,58,58
08.311.01.800215535,Premier Polyaxial Pedicle Screw 5.5 x 35,1,Ortho,Orthopädie,Stk,58,58
08.311.01.800215540,Premier Polyaxial Pedicle Screw 5.5 x 40,1,Ortho,Orthopädie,Stk,58,58
08.311.01.800215545,Premier Polyaxial Pedicle Screw 5.5 x 45,1,Ortho,Orthopädie,Stk,58,58
08.311.01.800215550,Premier Polyaxial Pedicle Screw 5.5 x50,1,Ortho,Orthopädie,Stk,58,58
08.311.01.800216035,Premier Polyaxial Pedicle Screw 6.0 x 35,1,Ortho,Orthopädie,Stk,58,58
08.311.01.800216040,Premier Polyaxial Pedicle Screw 6.0 x 40,1,Ortho,Orthopädie,Stk,58,58
08.311.01.800216045,Premier Polyaxial Pedicle Screw 6.0 x 45,1,Ortho,Orthopädie,Stk,58,58
08.311.01.800216050,Premier Polyaxial Pedicle Screw 6.0 x 50,1,Ortho,Orthopädie,Stk,58,58
08.311.01.800216055,Premier Polyaxial Pedicle Screw 6.0 x 55,1,Ortho,Orthopädie,Stk,1,NULL
08.311.01.800216535,Premier Polyaxial Pedicle Screw 6.5 x 35,1,Ortho,Orthopädie,Stk,58,58
08.311.01.800216540,Premier Polyaxial Pedicle Screw 6.5 x 40,1,Ortho,Orthopädie,Stk,58,58
08.311.01.800216545,Premier Polyaxial Pedicle Screw 6.5 x 45,1,Ortho,Orthopädie,Stk,58,58
08.311.01.800216550,Premier Polyaxial Pedicle Screw 6.5 x 50,1,Ortho,Orthopädie,Stk,58,58
08.311.01.800216555,Premier Polyaxial Pedicle Screw 6.5x 55,1,Ortho,Orthopädie,Stk,58,58
08.311.01.800217040,Premier Polyaxial Pedicle Screw 7.0_40,1,Ortho,Orthopädie,Stk,58,58
08.311.01.800217045,Premier Polyaxial Pedicle Screw 7.0_45,1,Ortho,Orthopädie,Stk,58,58
08.311.01.800217050,Premier Polyaxial Pedicle Screw 7.0 x 50,1,Ortho,Orthopädie,Stk,1,NULL
08.311.01.800217055,Premier Polyaxial Pedicle Screw 7.0 x 55,1,Ortho,Orthopädie,Stk,1,NULL
08.311.01.800217545,Premier Polyaxial Pedicle Screw-iliac screw 7.5_45,1,Ortho,Orthopädie,Stk,58,58
08.311.01.800217575,Premier Polyaxial Pedicle Screw-iliac screw 7.5_75,1,Ortho,Orthopädie,Stk,58,58
08.311.01.800217580,Premier Polyaxial Pedicle Screw-iliac screw 7.5_80,1,Ortho,Orthopädie,Stk,58,58
08.311.01.800218075,Premier Polyaxial Pedicle Screw-iliac screw 8.0_75,1,Ortho,Orthopädie,Stk,58,58
08.311.01.800218080,Premier Polyaxial Pedicle Screw-iliac screw 8.0_80,1,Ortho,Orthopädie,Stk,58,58
08.311.01.800218085,Premier Polyaxial Pedicle Screw-iliac screw 8.0_85,1,Ortho,Orthopädie,Stk,58,58
08.311.01.800218575,Premier Polyaxial Pedicle Screw-iliac screw 8.5_75,1,Ortho,Orthopädie,Stk,58,58
08.311.01.800218580,Premier Polyaxial Pedicle Screw-iliac screw 8.5_80,1,Ortho,Orthopädie,Stk,58,58
08.311.01.800218585,Premier Polyaxial Pedicle Screw-iliac screw 8.5_85,1,Ortho,Orthopädie,Stk,58,58
08.311.01.800218590,Premier Polyaxial Pedicle Screw-iliac screw 8.5_90,1,Ortho,Orthopädie,Stk,58,58
08.311.01.800224535,Premier Polyaxial Reduction Screw 4.5_35,1,Ortho,Orthopädie,Stk,68,68
08.311.01.800224540,Premier Polyaxial Reduction Screw 4.5_40,1,Ortho,Orthopädie,Stk,68,68
08.311.01.800225035,Premier Polyaxial Reduction Screw 5.0_35,1,Ortho,Orthopädie,Stk,68,68
08.311.01.800225040,Premier Polyaxial Reduction Screw 5.0_40,1,Ortho,Orthopädie,Stk,68,68
08.311.01.800225045,Premier Polyaxial Reduction Screw 5.0_45,1,Ortho,Orthopädie,Stk,68,68
08.311.01.800225530,Premier Polyaxial Reduction Screw 5.5_30,1,Ortho,Orthopädie,Stk,68,68
08.311.01.800225535,Premier Polyaxial Reduction Screw 5.5_35,1,Ortho,Orthopädie,Stk,68,68
08.311.01.800225540,Premier Polyaxial Reduction Screw 5.5_40,1,Ortho,Orthopädie,Stk,68,68
08.311.01.800225545,Premier Polyaxial Reduction Screw 5.5 x 45,1,Ortho,Orthopädie,Stk,68,68
08.311.01.800225550,Premier Polyaxial Reduction Screw 5.5 x 50,1,Ortho,Orthopädie,Stk,68,68
08.311.01.800226040,Premier Polyaxial Reduction Screw 6.0 x 40,1,Ortho,Orthopädie,Stk,1,NULL
08.311.01.800226045,Premier Polyaxial Reduction Screw 6.0 x 45,1,Ortho,Orthopädie,Stk,1,NULL
08.311.01.800226050,Premier Polyaxial Reduction Screw 6.0 x 50,1,Ortho,Orthopädie,Stk,1,NULL
08.311.01.800226540,Premier Polyaxial Reduction Screw 6.5 x 40,1,Ortho,Orthopädie,Stk,68,68
08.311.01.800226545,Premier Polyaxial Reduction Screw 6.5 x 45,1,Ortho,Orthopädie,Stk,68,68
08.311.01.800226550,Premier Polyaxial Reduction Screw 6.5 x 50,1,Ortho,Orthopädie,Stk,68,68
08.311.01.800226555,Premier Polyaxial Reduction Screw 6.5 x 55,1,Ortho,Orthopädie,Stk,68,68
08.311.01.800227540,Premier Polyaxial Reduction Screw 7.5 x 40,1,Ortho,Orthopädie,Stk,68,68
08.311.01.800227545,Premier Polyaxial Reduction Screw 7.5 x 45,1,Ortho,Orthopädie,Stk,68,68
08.311.01.800420600,SINO Rod Screw 6.0,1,Ortho,Orthopädie,Stk,2,2
08.311.01.800422500,Premier Reduction Set screw 5.5,1,Ortho,Orthopädie,Stk,9,9
08.311.01.800440008,Domino Connector-Long 5.5/ 5.5,1,Ortho,Orthopädie,Stk,31,31
08.311.01.800440010,"SINO Domino Connector, Long 6.0/6.0",1,Ortho,Orthopädie,Stk,31,31
08.311.01.800914500,Rod-CoCr(straight) 5.5 x 500,1,Ortho,Orthopädie,Stk,172,172
08.311.01.801260001,Crosslink Plate -2 6.0_28-31,1,Ortho,Orthopädie,Stk,12,12
08.311.01.801260002,Crosslink Plate -2 6.0_30-35,1,Ortho,Orthopädie,Stk,12,12
08.311.01.801260003,Crosslink Plate -2 6.0_35-44,1,Ortho,Orthopädie,Stk,12,12
08.311.01.801270003,Crosslink Plate -3 6.0_35-44,1,Ortho,Orthopädie,Stk,12,12
08.311.01.801270004,Crosslink Plate -3 6.0_43-54,1,Ortho,Orthopädie,Stk,12,12
08.311.01.801270005,Crosslink Plate -3 6.0_53-73,1,Ortho,Orthopädie,Stk,12,12
08.311.01.803287013,Crosslink Plate - 1/  5.5 x 65,1,Ortho,Orthopädie,Stk,9,9
08.311.01.803595545,Premier Uniplanner Screw 5.5_45,1,Ortho,Orthopädie,Stk,68,68
08.311.01.803595550,Premier Uniplanner Screw 5.5_50,1,Ortho,Orthopädie,Stk,68,68
08.311.01.803596545,Premier Uniplanner Screw 6.5_45,1,Ortho,Orthopädie,Stk,68,68
08.311.01.803596550,Premier Uniplanner Screw 6.5_50,1,Ortho,Orthopädie,Stk,68,68
08.311.01.803716045,Premier Cannulated Polyaxial Pedicle Screw 6.0x45,1,Ortho,Orthopädie,Stk,66,66
08.311.01.803716050,Premier Cannulated Polyaxial Pedicle Screw 6.0x50,1,Ortho,Orthopädie,Stk,66,66
08.311.01.803716535,Premier Cannulated Pedicle Screw 6.5 x 35,1,Ortho,Orthopädie,Stk,1,NULL
08.311.01.803716540,Premier Cannulated Polyaxial Pedicle Screw 6.5x40,1,Ortho,Orthopädie,Stk,1,NULL
08.311.01.803716545,Premier Cannulated Polyaxial Pedicle Screw 6.5x45,1,Ortho,Orthopädie,Stk,66,66
08.311.01.803716550,Premier Cannulated Polyaxial Pedicle Screw 6.5x50,1,Ortho,Orthopädie,Stk,66,66
08.311.01.803717045,Premier Cannulated Polyaxial Pedicle Screw 7.0x45,1,Ortho,Orthopädie,Stk,66,66
08.311.01.803717535,Premier Cannulated Polyaxial Pedicle Screw 7.5x35,1,Ortho,Orthopädie,Stk,66,66
08.311.01.803845520,Premier Lateral Connector-1 5.5/5.5-20,1,Ortho,Orthopädie,Stk,28,28
08.311.01.803845530,Premier Lateral Connector-1 5.5/5.5-30,1,Ortho,Orthopädie,Stk,28,28
08.311.01.803845540,Premier Lateral Connector-1 5.5/5.5-40,1,Ortho,Orthopädie,Stk,28,28
08.311.01.803865500,Premier Donimo Connector-2  5.5/ 5.5,1,Ortho,Orthopädie,Stk,31,31
08.311.01.804085535,Premier Cannulated Polyaxial Pedicle Screw 5.5 x35,1,Ortho,Orthopädie,Stk,1,NULL
08.311.01.804085540,Premier Cannulated Polyaxial Pedicle Screw 5.5 x40,1,Ortho,Orthopädie,Stk,1,NULL
08.311.01.804085545,Premier Cannulated Polyaxial Pedicle Screw 5.5 x45,1,Ortho,Orthopädie,Stk,1,NULL
08.311.01.804086535,Premier Cannulated Polyaxial Pedicle Screw 6.5x35,1,Ortho,Orthopädie,Stk,1,NULL
08.311.01.804086540,Premier Cannulated Polyaxial Pedicle Screw 6.5x40,1,Ortho,Orthopädie,Stk,1,NULL
08.311.01.804086545,Premier Cannulated Polyaxial Pedicle Screw 6.5x45,1,Ortho,Orthopädie,Stk,1,NULL
08.311.01.804086550,Premier Cannulated Polyaxial Pedicle Screw 6.5x50,1,Ortho,Orthopädie,Stk,1,NULL
08.311.01.804105100,Premier MIS Rod (straight) 5.5 x 100,1,Ortho,Orthopädie,Stk,1,NULL
08.311.01.804105130,Premier MIS ROD (Straight) 5.5 x 130,1,Ortho,Orthopädie,Stk,1,NULL
08.311.01.804105150,Premier MIS rod (straight) 5.5 x 150,1,Ortho,Orthopädie,Stk,1,NULL
08.311.01.804115040,Premier MIS (curved) 5.5 x 40,1,Ortho,Orthopädie,Stk,1,NULL
08.311.01.804115050,Premier MIS Rod (curved) 5.5 x 50,1,Ortho,Orthopädie,Stk,1,NULL
08.311.01.804115060,Premier MIS Rod (curved) 5.5 x 60,1,Ortho,Orthopädie,Stk,1,NULL
08.311.01.804115070,Premier MIS Rod (curved) 5.5 x 70,1,Ortho,Orthopädie,Stk,1,NULL
08.311.01.804115080,Premier MIS Rod (curved) 5.5 x 80,1,Ortho,Orthopädie,Stk,1,NULL
08.311.01.804115090,Premier MIS Rod (curved) 5.5 x 90,1,Ortho,Orthopädie,Stk,1,NULL
08.311.11.800005050,Rod(curved) 5.5 x 50,1,Ortho,Orthopädie,Stk,12,12
08.311.11.800005060,Rod(curved) 5.5 x 60,1,Ortho,Orthopädie,Stk,12,12
08.311.11.800005070,Rod(straight) 5.5 x 70,1,Ortho,Orthopädie,Stk,12,12
08.311.11.800005080,Rod (straight) 5.5_80,1,Ortho,Orthopädie,Stk,12,12
08.311.11.800005090,Rod(straight) 5.5 x 90,1,Ortho,Orthopädie,Stk,12,12
08.311.11.800005100,Rod(straight) 5.5 x 100,1,Ortho,Orthopädie,Stk,12,12
08.311.11.800005110,Rod(straight) 5.5 x 110,1,Ortho,Orthopädie,Stk,12,12
08.311.11.800005120,Premier Rod (straight) 5.5 x 120,1,Ortho,Orthopädie,Stk,1,NULL
08.311.11.800005250,Rod(straight) 5.5 x 250,1,Ortho,Orthopädie,Stk,25,25
08.311.11.800005500,Rod(straight) 5.5_500,1,Ortho,Orthopädie,Stk,49,49
08.311.11.800440808,Premier Donimo Connector 5.5/ 5.5,1,Ortho,Orthopädie,Stk,31,31
08.317.01.810005060,Premier Rod (curved) sterilized 5.5x60,1,Ortho,Orthopädie,Stk,17.52,17.52
08.317.01.810005070,Premier Rod (straight) sterilized 5.5x70,1,Ortho,Orthopädie,Stk,17.52,17.52
08.317.01.810005080,Premier Rod (straight) sterilized 5.5x80,1,Ortho,Orthopädie,Stk,17.52,17.52
08.317.01.810005090,Premier Rod (straight) sterilized 5.5x90,1,Ortho,Orthopädie,Stk,17.52,17.52
08.317.01.810005100,Premier Rod (straight) sterilized 5.5x100,1,Ortho,Orthopädie,Stk,17.52,17.52
08.317.01.810005110,Premier Rod (straight) sterilized 5.5x110,1,Ortho,Orthopädie,Stk,17.52,17.52
08.317.01.810005250,Premier Rod (straight) sterilized 5.5x250,1,Ortho,Orthopädie,Stk,33.62,33.62
08.317.01.810215035,Premier Polyaxial Pedicle Screw sterilized 5.0x35,1,Ortho,Orthopädie,Stk,62.86,62.86
08.317.01.810215040,Premier Polyaxial Pedicle Screw sterilized 5.0x40,1,Ortho,Orthopädie,Stk,62.86,62.86
08.317.01.810215045,Premier Polyaxial Pedicle Screw sterilized 5.0x45,1,Ortho,Orthopädie,Stk,62.86,62.86
08.317.01.810215535,Premier Polyaxial Pedicle Screw sterilized 5.5x35,1,Ortho,Orthopädie,Stk,62.86,62.86
08.317.01.810215540,Premier Polyaxial Pedicle Screw sterilized 5.5x40,1,Ortho,Orthopädie,Stk,62.86,62.86
08.317.01.810215545,Premier Polyaxial Pedicle Screw sterilized 5.5x45,1,Ortho,Orthopädie,Stk,62.86,62.86
08.317.01.810215550,Premier Polyaxial Pedicle Screw sterilized 5.5x50,1,Ortho,Orthopädie,Stk,62.86,62.86
08.317.01.810216035,Premier Polyaxial Pedicle Screw sterilized 6.0x35,1,Ortho,Orthopädie,Stk,62.86,62.86
08.317.01.810216040,Premier Polyaxial Pedicle Screw sterilized 6.0x40,1,Ortho,Orthopädie,Stk,62.86,62.86
08.317.01.810216045,Premier Polyaxial Pedicle Screw sterilized 6.0x45,1,Ortho,Orthopädie,Stk,62.86,62.86
08.317.01.810216050,Premier Polyaxial Pedicle Screw sterilized 6.0x50,1,Ortho,Orthopädie,Stk,62.86,62.86
08.317.01.810216535,Premier Polyaxial Pedicle Screw sterilized 6.5x35,1,Ortho,Orthopädie,Stk,62.86,62.86
08.317.01.810216540,Premier Polyaxial Pedicle Screw sterilized 6.5x40,1,Ortho,Orthopädie,Stk,62.86,62.86
